Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Future Value Notional
Fixed,0.04,nan,0.0,ACT/360,200000000.0,EUR,MTH,MTH,Float,0.0,EUR.EURIBOR.6M.Reuters,0.0,ACT/360,200000000.0,EUR,MTH,MTH,0.0
Fixed,0.04,nan,0.0,ACT/360,200000000.0,EUR,MTH,MTH,Float,0.0,EUR.EURIBOR.6M.Reuters,0.0,ACT/360,200000000.0,EUR,MTH,MTH,0.0
Fixed,0.211,nan,0.0,ACT/360,250000000.0,EUR,MTH,MTH,Float,0.0,EUR.EURIBOR.6M.Reuters,0.0,ACT/360,250000000.0,EUR,MTH,MTH,0.0
Fixed,0.211,nan,0.0,ACT/360,250000000.0,EUR,MTH,MTH,Float,0.0,EUR.EURIBOR.6M.Reuters,0.0,ACT/360,250000000.0,EUR,MTH,MTH,0.0
Fixed,0.429,nan,0.0,ACT/360,50000000.0,EUR,MTH,MTH,Float,0.0,EUR.EURIBOR.6M.Reuters,0.0,ACT/360,50000000.0,EUR,MTH,MTH,0.0
Fixed,0.429,nan,0.0,ACT/360,50000000.0,EUR,MTH,MTH,Float,0.0,EUR.EURIBOR.6M.Reuters,0.0,ACT/360,50000000.0,EUR,MTH,MTH,0.0
Fixed,0.31,nan,0.0,ACT/360,44000000.0,EUR,MTH,MTH,Float,0.0,EUR.EURIBOR.6M.Reuters,0.0,ACT/360,44000000.0,EUR,MTH,MTH,0.0
Fixed,0.744,nan,0.0,ACT/360,16000000.0,EUR,MTH,MTH,Float,0.0,EUR.EURIBOR.6M.Reuters,0.0,ACT/360,16000000.0,EUR,MTH,MTH,0.0
Fixed,1.153,nan,0.0,ACT/365.FIXED,28000000.0,AUD,MTH,MTH,Float,0.0,AUD.AUD-BBR-BBSW.6M.AUD-BBR-BBSW,0.0,ACT/365.FIXED,28000000.0,AUD,MTH,MTH,0.0
Fixed,1.48,nan,0.0,ACT/365.FIXED,15000000.0,AUD,MTH,MTH,Float,0.0,AUD.AUD-BBR-BBSW.6M.AUD-BBR-BBSW,0.0,ACT/365.FIXED,15000000.0,AUD,MTH,MTH,0.0
Fixed,0.5185,nan,0.0,ACT/365.FIXED,35000000.0,AUD,MTH,MTH,Float,0.0,AUD.AUD-BBR-BBSW.6M.AUD-BBR-BBSW,0.0,ACT/365.FIXED,35000000.0,AUD,MTH,MTH,0.0
