Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Future Value Notional
Fixed,2.441721,nan,0.2165053,365/360,639488260.0,SEK,MTH,6,Float,0.86638063,AUD-AONIA-OIS Compound,0.40543312,ACT/360,165547120.0,NZD,MTH,6M,0.1913623
Fixed,1.679155,nan,0.3588819,365/360,578652300.0,SEK,MTH,MTH,Float,0.7503536,COP-IBR-OIS-COMPOUND,0.98466325,ACT/360,317678900.0,NZD,MTH,6M,0.6851293
Fixed,1.6716614,nan,0.5721026,ACT/365.FIXED,628832400.0,USD,MTH,MTH,Float,0.95506126,CNY-Fixing Repo Rate,0.5598371,ACT/360,170768140.0,NZD,MTH,3M,0.26326996
Fixed,2.7943983,nan,0.94375587,ACT/365.FIXED,603908350.0,CAD,MTH,MTH,Float,0.806891,USD-LIBOR,0.16340353,ACT/365.FIXED,243159970.0,NZD,ZC,MTH,0.027467282
Fixed,2.0775957,nan,0.6442178,ACT/365.FIXED,585327000.0,CNY,MTH,MTH,Float,0.90142024,SEK.STIBOR.3M.SIDE,0.5763305,ACT/360,218367580.0,USD,MTH,MTH,0.15604633
Fixed,2.6857028,nan,0.82693064,30/360,652805300.0,DKK,6M,6M,Float,0.6581742,CHF.LIBOR.6M.BBA,0.12986764,ACT/365.FIXED,159193380.0,NZD,SA,MTH,0.007977489
Fixed,1.7491903,nan,0.53345263,BUS/252,622921300.0,PLN,MTH,6,Float,0.9438791,CNY-CNREPOFIX=CFXS-Reuters,0.5040675,ACT/360,189828940.0,CAD,MTH,3M,0.15256695
Fixed,2.081465,nan,0.9652152,ACT/365.FIXED,555280960.0,PLN,MTH,6,Float,0.9219744,HUF.BUBOR.6M.Reuters,0.28661427,ACT/360,175847140.0,NZD,MTH,MTH,0.042300805
Fixed,1.6642976,nan,0.37660542,365/360,651257600.0,DKK,MTH,MTH,Float,0.7477911,USD-LIBOR,0.08234408,ACT/360,169874500.0,ILS,MTH,MTH,0.0040742513
Fixed,3.2718146,USD-LIBOR-BBA,0.80053616,365/360,451411300.0,KRW,MTH,MTH,Float,0.7893752,USD.USD-Federal Funds-H.15-OIS-COMPOUND..USD-Federal Funds-H.15-OIS-COMPOUND,0.73879975,ACT/360,303672830.0,NZD,MTH,MTH,0.93814975
Fixed,3.2545524,nan,0.93517715,ACT/365.FIXED,623208640.0,CAD,MTH,MTH,Float,0.84127575,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.08944871,ACT/365.FIXED,156767280.0,NZD,MTH,3M,0.30283397
Fixed,2.976979,nan,0.82642037,ACT/365.FIXED,587126900.0,THB,MTH,MTH,Float,0.8439254,CNY-CNREPOFIX=CFXS-Reuters,0.36735517,ACT/360,160129010.0,NZD,MTH,MTH,0.35116875
Fixed,1.6415447,nan,0.26626244,ACT/360,618816640.0,CNY,MTH,MTH,Float,0.97466016,SEK.STIBOR.3M.SIDE,0.95832103,ACT/360,169416830.0,USD,MTH,3M,0.2575903
Fixed,1.6288096,nan,0.33066142,ACT/360,554947300.0,DKK,6M,6,Float,0.2097799,CZK.PRIBOR.3M.PRBO,0.7451673,ACT/360,158585810.0,USD,MTH,3M,0.08805084
Fixed,1.6388338,nan,0.3449819,ACT/365.FIXED,619848450.0,ZAR,6M,6,Float,0.44141468,USD-LIBOR,0.65348214,ACT/360,166341020.0,NZD,MTH,3M,0.03279742
Fixed,2.02094,nan,0.23092094,ACT/365.FIXED,653234940.0,CNY,MTH,MTH,Float,0.9472641,PLN.PLN-WIBOR-WIBO.6M.PLN-WIBOR-WIBO,0.046056673,ACT/365.FIXED,159920460.0,NZD,MTH,MTH,0.0052244086
Fixed,1.8303858,nan,0.6973279,BUS/252,645706100.0,SEK,MTH,6,Float,0.9120226,CNY-CNREPOFIX=CFXS-Reuters,0.2671718,ACT/360,192325650.0,NZD,MTH,MTH,0.11193736
Fixed,1.7756077,nan,0.6647974,ACT/365.FIXED,587755650.0,PLN,MTH,6,Float,0.8427041,CZK.CZK-PRIBOR-PRBO.3M.CZK-PRIBOR-PRBO,0.7052427,ACT/360,194872740.0,CAD,MTH,MTH,0.31970552
Fixed,1.6451267,nan,0.6786608,ACT/365.FIXED,547710100.0,ZAR,MTH,MTH,Float,0.18588845,GBP.UK-RPI.40Y.UK-RPI,0.32918975,ACT/360,150646740.0,NZD,MTH,MTH,0.020403102
Fixed,1.6140914,nan,0.0806616,BUS/252,649966460.0,DKK,MTH,MTH,Float,0.6352191,EUR.EUR-EXT-CPI.10Y.EUR-EXT-CPI,0.33705062,ACT/360,206779360.0,NZD,SA,3M,0.02232603
Fixed,1.6799433,nan,0.7843214,ACT/360,610865000.0,DKK,MTH,MTH,Float,0.72722495,EUR-EXT-CPI,0.38231483,ACT/360,247175120.0,NZD,MTH,MTH,0.14704543
Fixed,2.7353323,nan,0.9592628,30/360,602015200.0,CAD,MTH,MTH,Float,0.8712836,CLP.CLP-TNA.6M.CLP-TNA,0.39961806,ACT/360,190032130.0,CAD,MTH,MTH,0.0477689
Fixed,1.6851273,nan,0.69694835,BUS/252,651806340.0,COP,MTH,MTH,Float,0.6587882,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.10297093,ACT/360,151784930.0,ILS,MTH,MTH,0.009475204
Fixed,2.5745943,nan,0.44069344,365/360,641448960.0,CAD,MTH,MTH,Float,0.9595664,USD-LIBOR,0.036160123,ACT/360,175454450.0,NZD,SA,MTH,0.008754487
Fixed,1.8981057,nan,0.8111143,365/360,641742460.0,CAD,MTH,MTH,Float,0.95347,USD-LIBOR,0.6066004,ACT/360,164166050.0,TWD,3M,MTH,0.011112525
Fixed,1.6890128,nan,0.6060163,ACT/360,558770100.0,CNY,MTH,MTH,Float,0.74596804,USD.USD-Federal Funds-H.15-OIS-COMPOUND.1Y.USD-Federal Funds-H.15-OIS-COMPOUND,0.8311071,ACT/360,168168530.0,NZD,MTH,MTH,0.05176465
Fixed,3.007036,USD.AAA_MUNI.20Y.Reuters,0.97478765,365/360,501739620.0,SGD,MTH,6,Float,0.98606884,HUF-BUBOR,0.77560806,ACT/360,351490370.0,NZD,MTH,MTH,0.9345833
Fixed,2.3335843,nan,0.22102694,ACT/365.FIXED,650647200.0,CNY,MTH,6M,Float,0.98201287,USD-SOFR-OIS Compound,0.29146734,ACT/365.FIXED,210129250.0,NZD,MTH,MTH,0.0009928292
Fixed,1.7241796,nan,0.28141615,365/360,634952960.0,NOK,MTH,6,Float,0.9737133,AUD-AONIA-OIS Compound,0.28138298,ACT/360,175026640.0,NZD,MTH,6MTH,0.08280914
Fixed,1.5869358,USD-LIBOR,0.10576138,365/360,614927900.0,SEK,MTH,6,Float,0.65939254,USD.USD-SOFR-COMPOUND..,0.9850468,ACT/360,454894200.0,NZD,MTH,6M,0.05750653
Fixed,2.274673,nan,0.36959508,365/360,477228580.0,DKK,MTH,MTH,Float,0.92282724,EUR-EXT-CPI,0.74127936,ACT/365.FIXED,245266620.0,NZD,MTH,6MTH,0.29279932
Fixed,2.0902362,nan,0.7760285,ACT/360,594322400.0,PLN,MTH,MTH,Float,0.93484175,EUR-EXT-CPI,0.19579852,ACT/365.FIXED,181237920.0,INR,MTH,MTH,0.25171453
Fixed,1.6387206,nan,0.2100956,ACT/365.FIXED,478240450.0,DKK,QTR,MTH,Float,0.3629433,EUR.FRC-EXT-CPI.1Y.FRC-EXT-CPI,0.78467166,ACT/360,162505040.0,NZD,MTH,3M,0.027808486
Fixed,1.5995857,nan,0.343106,365/360,633519940.0,PLN,MTH,6,Float,0.9051243,CNY-Fixing Repo Rate,0.4871511,ACT/360,160329420.0,HKD,MTH,3M,0.10869464
Fixed,2.2565775,nan,0.6257953,ACT/360,367614530.0,PLN,MTH,6,Float,0.8275681,EUR.EUR-EXT-CPI.10Y.EUR-EXT-CPI,0.78376323,ACT/365.FIXED,154057730.0,NZD,MTH,6MTH,0.64612365
Fixed,1.9106334,nan,0.53211,365/360,618184960.0,NOK,MTH,6,Float,0.889769,CZK.PRIBOR.3M.PRBO,0.48226812,ACT/360,270669950.0,NZD,MTH,3M,0.15632854
Fixed,2.4846778,nan,0.33151677,365/360,511953400.0,THB,MTH,6,Float,0.924391,COP-IBR-OIS-COMPOUND,0.67548674,ACT/360,281998720.0,NZD,MTH,3M,0.52884924
Fixed,1.639025,nan,0.7151813,30/360,630635800.0,COP,MTH,MTH,Float,0.41091236,USD-SOFR-OIS Compound,0.54990745,ACT/365.FIXED,230432200.0,CAD,MTH,MTH,0.0013414583
Fixed,2.229415,nan,0.9830592,ACT/360,613362700.0,NOK,MTH,MTH,Float,0.82516026,USD.USD-Federal Funds-H.15-OIS-COMPOUND..USD-Federal Funds-H.15-OIS-COMPOUND,0.43828622,ACT/365.FIXED,151821090.0,USD,MTH,3M,0.63287973
Fixed,2.956991,nan,0.8019792,30/360,646855700.0,DKK,6M,MTH,Float,0.2680795,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.052029338,ACT/365.FIXED,230722780.0,EUR,MTH,MTH,0.07207239
Fixed,2.4649978,nan,0.96444154,ACT/360,544328700.0,ILS,MTH,MTH,Float,0.7997777,JPY-TONA-OIS Compound,0.4025098,ACT/365.FIXED,184930830.0,NZD,MTH,3M,0.43672958
Fixed,1.9760509,nan,0.5680906,ACT/365.FIXED,627494850.0,ZAR,MTH,MTH,Float,0.6411224,USD-LIBOR,0.45138773,ACT/360,143899380.0,NZD,MTH,MTH,0.20672336
Fixed,2.577996,nan,0.8729587,ACT/360,557834900.0,PLN,MTH,MTH,Float,0.7547042,USD.USA-CPI-U.10Y.USA-CPI-U,0.26786378,ACT/360,259534180.0,USD,MTH,MTH,0.6300201
Fixed,2.553441,nan,0.1536411,ACT/365.FIXED,649443650.0,DKK,MTH,6,Float,0.980124,USD.USA-CPI-U.7Y.USA-CPI-U,0.32235646,ACT/360,205168200.0,NZD,SA,3M,0.011853897
Fixed,1.8610628,nan,0.94666713,30/360,584731650.0,DKK,MTH,MTH,Float,0.76067495,JPY-TONA-OIS Compound,0.614115,ACT/360,204303020.0,NZD,6WK,3M,0.34031323
Fixed,1.9200739,USD.AAA_MUNI.20Y.Reuters,0.9339675,365/360,574110200.0,NOK,MTH,MTH,Float,0.8645179,HUF-BUBOR,0.79136086,ACT/360,196854880.0,USD,MTH,6M,0.9265305
