Event,Execution Timestamp,Dissemination Time,Cleared,Collateralization,End-User Exception,Bespoke,Block/Off facility,Execution Venue,UPI,Product,Contract Type,Effective Date,Maturity Date,Upfront Payment,Upfront Payment Currency,Upfront Payment Date,Settlement Currency,Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Designated Maturity,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Designated Maturity,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Embedded Option,Option Strike Price,Option Type,Option Family,Option Currency,Option Premium,Option Lockout Period,Option Expiration Date,Asset Class,Rpt ID,Prev Rpt ID,Future Value Notional,Contract Subtype
,,,,,,,,,,,,,,,,,,Fixed,1.608,,,0.0,ACT/365.FIXED,312375000.0,GBP,MTH,MTH,Float,0.0,USD-Federal Funds-OIS Compound,,0.0,ACT/360,150000000.0,USD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,0.238,,,0.0,ACT/360,310000000.0,USD,MTH,MTH,Float,0.0,EUR-EuroSTR-OIS Compound,,0.0,ACT/360,180000000.0,MXN,3M,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.215,,,0.0,ACT/365.FIXED,800000000000.0,CAD,MTH,MTH,Float,0.0,COP.COP-IBR-OIS-COMPOUND.3M.COP-IBR-OIS-COMPOUND,,0.0,ACT/365.FIXED,2000000.0,MXN,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,3.6075,,,0.0,ACT/360,4000000.0,GBP,MTH,MTH,Float,0.0,EUR-EuroSTR-OIS Compound,,0.0,ACT/365.FIXED,62000000000.0,JPY,6M,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.301,,,0.0,ACT/360,3000000000.0,KRW,MTH,MTH,Float,0.0,GBP.GBP-LIBOR-BBA.6M.GBP-LIBOR-BBA,,0.0,ACT/365.FIXED,130000000.0,AUD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.7165,,,0.0,ACT/360,950000000.0,CAD,MTH,MTH,Fixed,0.0,CHF.CHF-LIBOR-BBA.6M.CHF-LIBOR-BBA,,0.0,ACT/360,240000000.0,NZD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,2.15,,,0.0,ACT/360,8000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.5Y.USA-CPI-U,,0.0,ACT/365.FIXED,220000000.0,USD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,2.54,,,0.0,ACT/365.FIXED,30000000.0,AUD,MTH,MTH,Float,0.0,USD-LIBOR-BBA,,0.0,ACT/365.FIXED,66000000.0,EUR,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,3.169,,,0.0,ACT/365.FIXED,170000000.0,MXN,MTH,MTH,Float,0.0,,,0.0,ACT/365.FIXED,100000000.0,AUD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.525,,,0.0,ACT/360,150000000000.0,NZD,MTH,MTH,FIXED,0.0,HKD.HKD-HIBOR-HKAB.3M.HKD-HIBOR-HKAB,,0.0,30/360,210000000.0,JPY,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,2.7235,,,0.0,ACT/360,6000000.0,GBP,MTH,MTH,Float,0.0,USD.USD-Federal Funds-H.15-OIS-COMPOUND.1Y.USD-Federal Funds-H.15-OIS-COMPOUND,,0.0,ACT/360,1000000000.0,CAD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,3.319,USD.LIBOR.3M.BBA,,0.0,ACT/360,170000000.0,CAD,MTH,MTH,Float,0.0,ZAR.ZAR-JIBAR-SAFEX.3M.ZAR-JIBAR-SAFEX,,0.0,ACT/360,260000000.0,USD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,0.9,,,0.0,ACT/360,3000000.0,AUD,MTH,MTH,Float,0.0,EUR.EUR-EONIA-OIS-COMPOUND.1T.EUR-EONIA-OIS-COMPOUND,,0.0,ACT/365.FIXED,490000000.0,HUF,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,0.922,,,0.0,ACT/360,430000000.0,CZK,MTH,6,Float,0.0,GBP-SONIA-OIS Compound,,0.0,ACT/365.FIXED,6400000000.0,EUR,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,2.0975,,,0.0,ACT/365.FIXED,2000000000.0,NZD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,,0.0,ACT/365.FIXED,550000000.0,USD,MTH,3M,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.311,USD.LIBOR.3M.BBA,,0.0,1/1,19000000.0,USD,MTH,3M,Float,0.0,AUD.AUD-AONIA-OIS-COMPOUND.1T.AUD-AONIA-OIS-COMPOUND,,0.0,ACT/360,2000000.0,KRW,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.35,,,0.0,ACT/365.FIXED,190000000.0,SEK,MTH,MTH,Float,0.0,PLN-WIBOR,,0.0,ACT/365.FIXED,440000000.0,PLN,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.295,,,0.0,ACT/365.FIXED,27000000.0,CHF,MTH,MTH,Float,0.0,GBP.UK-RPI.5Y.UK-RPI,,0.0,ACT/365.FIXED,250000000.0,EUR,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,6.5385,,,0.0,ACT/365.FIXED,130000000.0,EUR,MTH,MTH,FIXED,0.67586,USD.USD-LIBOR-BBA.6M.USD-LIBOR-BBA,,0.0,ACT/360,2000000.0,NZD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,0.40267,,,0.0,ACT/360,26000000.0,USD,MTH,MTH,Float,1.233,USD-LIBOR-BBA,,0.0,ACT/360,850000000.0,EUR,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.7325,,,0.0,ACT/360,8000000.0,CAD,MTH,MTH,Float,0.0,NOK.NIBOR.6M.OIBOR,,0.0,ACT/365.FIXED,10000000.0,CAD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,0.0,,,0.0,ACT/360,1000000000.0,EUR,MTH,,Float,0.0,HKD.HKD-HIBOR-HKAB.3M.HKD-HIBOR-HKAB,,0.0,ACT/360,21000000.0,AUD,6M,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Float,3.03173,,,0.0,ACT/365.FIXED,2000000000.0,CZK,6M,MTH,Float,0.0,USD-SOFR-OIS Compound,,0.0,ACT/360,330000000.0,EUR,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,4.27,USD.USD-LIBOR-BBA.3.,,0.0,ACT/360,200000000000.0,GBP,MTH,MTH,Float,2.0,NZD-BKBM FRA,,0.0,ACT/365.FIXED,100000000.0,NZD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.1382,,,0.0,ACT/360,20000000.0,NOK,MTH,MTH,Float,0.0,KRW-CD-KSDA-Bloomberg,,0.0,ACT/360,50.0,USD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,0.322,,,0.0,ACT/360,170000000.0,AUD,MTH,MTH,Float,3.0,GBP.GBP-SONIA-COMPOUND.1T.GBP-SONIA-COMPOUND,,0.0,ACT/360,240000000.0,CAD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,2.16,,,0.0,ACT/360,210000000.0,ILS,MTH,MTH,Float,0.0,ZAR.ZAR-JIBAR-SAFEX.3M.ZAR-JIBAR-SAFEX,,0.0,ACT/365.FIXED,5000000.0,NZD,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,0.17,,,0.0,30/360,1000000000.0,USD,MTH,MTH,Float,0.0,CHF.LIBOR.6M.BBA,,0.0,ACT/365.FIXED,1000000000.0,HUF,MTH,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,1.885,,,0.0,ACT/360,18000000.0,EUR,MTH,MTH,Float,0.0,SEK.STIBOR.3M.SIDE,,0.0,ACT/360,300000000.0,ZAR,3M,MTH,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,Fixed,0.0,,,0.0,ACT/360,9000000.0,GBP,3M,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,,0.0,ACT/365.FIXED,33000000.0,USD,MTH,MTH,,,,,,,,,,,,0.0,
