Event,Execution Timestamp,Dissemination Time,Cleared,Collateralization,End-User Exception,Bespoke,Block/Off facility,Execution Venue,UPI,Product,Contract Type,Effective Date,Maturity Date,Upfront Payment,Upfront Payment Currency,Upfront Payment Date,Settlement Currency,Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Designated Maturity,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Designated Maturity,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Embedded Option,Option Strike Price,Option Type,Option Family,Option Currency,Option Premium,Option Lockout Period,Option Expiration Date,Asset Class,Rpt ID,Prev Rpt ID,Future Value Notional,Contract Subtype
,,,,,,,,,,,,,,,,,,FLOAT,3.4383876,USD.LIBOR.3M.BBA,,0.51570296,ACT/365.FIXED,-114612640.0,CHF,6M,nan,FLOAT,-0.53058225,PLN.WIBOR.6M.WIBO,,-0.46308145,BUS/252,-52013136.0,NZD,6WK,3M,,,,,,,,,,,,0.95659435,
,,,,,,,,,,,,,,,,,,FLOAT,-0.41438308,USD.MUNIPSA.3M.Bloomberg,,0.12883805,BUS/252,-371184000.0,BRL,6M,6D,FLOAT,-0.037464548,EUR.FRC-EXT-CPI.5Y.FRC-EXT-CPI,,-0.6588617,30/360,-257444380.0,CHF,QTR,QTR,,,,,,,,,,,,-0.99435997,
,,,,,,,,,,,,,,,,,,FLOAT,0.0253547,CAD.CORRA.1T.OIS-COMPOUND,,-0.7494047,BUS/252,635965700.0,THB,6M,nan,Fixed,0.7848218,NOK.NOK-NIBOR-NIBR.3M.NOK-NIBOR-NIBR,,0.69814384,ACT/365,-6185328.0,SGD,MTH,3M,,,,,,,,,,,,-0.9815956,
,,,,,,,,,,,,,,,,,,FLOAT,1.6214042,GBP.LIBOR.6M.BBA,,0.0284601,ACT/365,-361762660.0,ZAR,QTR,6D,FLOAT,-0.61394596,USD.USA-CPI-U.25Y.USA-CPI-U,,0.1665053,BUS/252,-326208960.0,HUF,6M,MTH,,,,,,,,,,,,0.39438024,
,,,,,,,,,,,,,,,,,,Fixed,3.238937,USD.LIBOR.3M.BBA,,-0.78786886,BUS/252,-264730050.0,KRW,6Y,6M,Float,-0.9251317,NOK.NIBOR.6M.OIBOR,,-0.7400842,BUS/252,-369011330.0,CHF,6WK,nan,,,,,,,,,,,,0.8274756,
,,,,,,,,,,,,,,,,,,Float,-0.12134652,USD.LIBOR.3M.BBA,,-0.8135412,ACT/365.FIXED,550988900.0,ILS,6M,6D,Float,-0.594695,HUF.BUBOR.3M.Reuters,,-0.78843176,ACT/360,-83857410.0,MXN,6M,3M,,,,,,,,,,,,-0.6694285,
,,,,,,,,,,,,,,,,,,Fixed,0.17351003,USD-LIBOR-BBA,,-0.9462042,ACT/365,106766380.0,CLP,QTR,6M,Fixed,0.93188685,USD.USA-CPI-U.5Y.USA-CPI-U,,0.9649575,ACT/360,635889900.0,GBP,6WK,6MTH,,,,,,,,,,,,-0.91836,
,,,,,,,,,,,,,,,,,,FLOAT,-0.2307934,USD.AAA_MUNI.6M.Reuters,,0.12683861,30/360,-231912000.0,NOK,ZC,QTR,FLOAT,-0.89025193,USD.USA-CPI-U.30Y.USA-CPI-U,,0.9689683,30/360,493722880.0,ILS,6Y,6,,,,,,,,,,,,-0.70462507,
,,,,,,,,,,,,,,,,,,FLOAT,1.2224324,USD.LIBOR.1M.BBA,,0.63551,ACT/365.FIXED,649179650.0,THB,MTH,6M,Float,0.22859816,USD-LIBOR,,0.5295981,ACT/360,261803710.0,SEK,6WK,QTR,,,,,,,,,,,,0.53409344,
,,,,,,,,,,,,,,,,,,FLOAT,0.6142901,EUR.EUR-EURIBOR-Reuters.6.,,0.3908426,30/360,-285934240.0,THB,3M,QTR,Float,-0.8461876,CAD-CORRA-OIS-COMPOUND,,-0.71834993,ACT/365.FIXED,-358182530.0,HUF,6Y,MTH,,,,,,,,,,,,0.23896955,
