Event,Execution Timestamp,Dissemination Time,Cleared,Collateralization,End-User Exception,Bespoke,Block/Off facility,Execution Venue,UPI,Product,Contract Type,Effective Date,Maturity Date,Upfront Payment,Upfront Payment Currency,Upfront Payment Date,Settlement Currency,Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Designated Maturity,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Designated Maturity,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Embedded Option,Option Strike Price,Option Type,Option Family,Option Currency,Option Premium,Option Lockout Period,Option Expiration Date,Asset Class,Rpt ID,Prev Rpt ID,Future Value Notional,Contract Subtype
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.576384,USD.USD-SOFR-COMPOUND..,nan,0.9985772,ACT/360,140000000.0,HKD,6M,nan,Fixed,0.99444264,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.99745184,ACT/365.FIXED,140000050.0,CHF,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,6.5233817e-06,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5764935,USD.USD-SOFR-COMPOUND..,nan,0.9995236,ACT/360,140000000.0,NZD,6M,nan,Fixed,0.99882144,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.9989921,ACT/365.FIXED,140000080.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.1600627e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,1.58,USD.LIBOR.3M.BBA,nan,8.2602644e-05,ACT/365.FIXED,657000000.0,CAD,6Y,3M,FLOAT,1.2747357e-07,AUD-BBR-BBSW,nan,1.5807492e-08,ACT/365,656987260.0,CAD,ZC,3M,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5754602,nan,nan,0.9860934,ACT/360,150527790.0,NOK,MTH,nan,Float,0.9990749,COP-IBR-OIS Compound,nan,0.9996615,ACT/360,448970180.0,MXN,3M,6M,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.013104567,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.556339,USD.LIBOR.3M.BBA,nan,0.26864454,ACT/365,656695940.0,THB,6Y,MTH,FLOAT,0.97852445,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,nan,0.98550993,ACT/365,656997760.0,NOK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.9814991,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.5700967,USD.MUNIPSA.3M.Bloomberg,nan,0.2251165,ACT/365,654294000.0,THB,6Y,MTH,FLOAT,0.9204604,TWD-TAIBOR,nan,0.9893922,ACT/365,656994400.0,CAD,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.9305072,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.576377,USD.LIBOR.1M.BBA,nan,0.9955664,ACT/360,140039760.0,NOK,MTH,nan,Float,0.99975836,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,nan,0.999626,ACT/360,185802290.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.00046716278,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.5762362,nan,nan,0.96503466,ACT/360,172054270.0,NOK,QTR,nan,Float,0.99944675,AUD.BBR.6M.BBSW,nan,0.9994007,ACT/360,656069760.0,MXN,6Y,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.035515755,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.5213957,USD.LIBOR.3M.BBA,nan,0.7071481,ACT/365,644623550.0,THB,6Y,MTH,FLOAT,0.9971639,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,nan,0.9953498,ACT/365,656935300.0,NOK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.9082324,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,1.581418,USD.LIBOR.3M.BBA,nan,0.029398168,ACT/365,657000000.0,CAD,6Y,MTH,FLOAT,0.003556777,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,nan,0.007534148,ACT/365,656995460.0,CAD,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.999995,nan
